Country,State,District,Year,Reported land area ,Forest land area,Land area under non-agricultural uses,Barren and unculturable land area,Permanent pasture and other grazing land area,Land under miscellaneous Tree Crops and Groves not included in Net Area Sown,Culturable waste land area,Fallow lands other than current fallow lands,Current Fallow land area,Net sown land area,Cropped land area,Land area sown more than once
India,Andhra Pradesh,Chittoor,"Agriculture Year (Jul - Jun), 2014",1515100.000,452018.000,158711.000,152688.000,33540.000,30561.000,47263.000,129802.000,173694.000,336823.000,378839.000,42016.000
India,Arunachal Pradesh,Unknown Districts Of India,"Agriculture Year (Jul - Jun), 2013",4300409.000,3868209.000,22055.000,35526.000,15453.000,31298.000,46304.000,57771.000,30726.000,193067.000,254272.000,61205.000
India,Arunachal Pradesh,Tawang,"Agriculture Year (Jul - Jun), 2016",12861.000,0.000,597.000,725.000,391.000,1465.000,3156.000,1224.000,908.000,4395.000,5968.000,1573.000
India,Arunachal Pradesh,Tirap,"Agriculture Year (Jul - Jun), 2014",,,,,,,,,,,,
India,Arunachal Pradesh,Lower Subansiri,"Agriculture Year (Jul - Jun), 2018",17870.000,0.000,846.000,676.000,433.000,955.000,1048.000,837.000,1973.000,11102.000,12228.000,1126.000
India,Andhra Pradesh,Anantapur,"Agriculture Year (Jul - Jun), 2017",1913000.000,196978.000,150823.000,164796.000,5817.000,9252.000,45428.000,113495.000,432165.000,794246.000,842174.000,47928.000
India,Arunachal Pradesh,Lower Subansiri,"Agriculture Year (Jul - Jun), 2017",,,,,,,,,,,,
India,Andhra Pradesh,Kurnool,"Agriculture Year (Jul - Jun), 2014",1765800.000,340669.000,142954.000,127313.000,3182.000,1685.000,45668.000,65748.000,122554.000,916027.000,997959.000,81932.000
India,Arunachal Pradesh,Leparada,"Agriculture Year (Jul - Jun), 2011",,,,,,,,,,,,
India,Andhra Pradesh,Krishna,"Agriculture Year (Jul - Jun), 2015",872700.000,76186.000,154900.000,36757.000,10646.000,8780.000,22635.000,28928.000,73310.000,460558.000,609355.000,148797.000
India,Arunachal Pradesh,Tawang,"Agriculture Year (Jul - Jun), 2017",12873.000,0.000,597.000,725.000,391.000,1440.000,3156.000,1204.000,933.000,4427.000,6107.000,1680.000
India,Arunachal Pradesh,Kra Daadi,"Agriculture Year (Jul - Jun), 2014",,,,,,,,,,,,
India,Arunachal Pradesh,Unknown Districts Of India,"Agriculture Year (Jul - Jun), 2017",148642.000,0.000,9482.000,8922.000,5272.000,10694.000,14388.000,17420.000,11040.000,71424.000,99907.000,28483.000
India,Arunachal Pradesh,Siang,"Agriculture Year (Jul - Jun), 2012",,,,,,,,,,,,
India,Arunachal Pradesh,Lower Subansiri,"Agriculture Year (Jul - Jun), 2013",,,,,,,,,,,,
India,Arunachal Pradesh,Namsai,"Agriculture Year (Jul - Jun), 2014",,,,,,,,,,,,
India,Arunachal Pradesh,Dibang Valley,"Agriculture Year (Jul - Jun), 2017",9473.000,0.000,322.000,320.000,435.000,632.000,795.000,1558.000,1316.000,4095.000,5963.000,1868.000
India,Andhra Pradesh,Anantapur,"Agriculture Year (Jul - Jun), 2013",1913000.000,196978.000,151251.000,166425.000,5848.000,9416.000,48533.000,86502.000,209067.000,1038980.000,1106371.000,67391.000
India,Arunachal Pradesh,East Siang,"Agriculture Year (Jul - Jun), 2014",,,,,,,,,,,,
India,Arunachal Pradesh,Dibang Valley,"Agriculture Year (Jul - Jun), 2014",631524.000,622119.000,322.000,320.000,435.000,657.000,845.000,1688.000,1416.000,3722.000,5285.000,1563.000
India,Arunachal Pradesh,Pakke Kessang,"Agriculture Year (Jul - Jun), 2013",,,,,,,,,,,,
India,Arunachal Pradesh,Kamle,"Agriculture Year (Jul - Jun), 2017",,,,,,,,,,,,
India,Arunachal Pradesh,Kamle,"Agriculture Year (Jul - Jun), 2013",,,,,,,,,,,,
India,Andhra Pradesh,Guntur,"Agriculture Year (Jul - Jun), 2014",1139100.000,161941.000,161134.000,31612.000,16450.000,24180.000,26677.000,43208.000,50144.000,623754.000,809674.000,185920.000
India,Arunachal Pradesh,East Kameng,"Agriculture Year (Jul - Jun), 2015",,,,,,,,,,,,
India,Andhra Pradesh,Spsr Nellore,"Agriculture Year (Jul - Jun), 2014",1307600.000,271899.000,306574.000,82857.000,34816.000,7111.000,44555.000,103961.000,120761.000,335066.000,394565.000,59499.000
India,Arunachal Pradesh,Lower Dibang Valley,"Agriculture Year (Jul - Jun), 2014",350109.000,317962.000,515.000,417.000,750.000,610.000,1888.000,1538.000,1474.000,24955.000,33039.000,8084.000
India,Andhra Pradesh,Srikakulam,"Agriculture Year (Jul - Jun), 2012",583700.000,68641.000,102435.000,48500.000,942.000,7451.000,525.000,14838.000,33920.000,306448.000,422571.000,116123.000
India,Arunachal Pradesh,Shi Yomi,"Agriculture Year (Jul - Jun), 2012",,,,,,,,,,,,
India,Arunachal Pradesh,Lower Dibang Valley,"Agriculture Year (Jul - Jun), 2013",,,,,,,,,,,,
India,Arunachal Pradesh,Upper Siang,"Agriculture Year (Jul - Jun), 2013",,,,,,,,,,,,
India,Andhra Pradesh,Visakhapatanam,"Agriculture Year (Jul - Jun), 2015",1116100.000,441166.000,109890.000,130405.000,2704.000,33427.000,9884.000,42171.000,69090.000,277363.000,350736.000,73373.000
India,Andhra Pradesh,Y.S.R.,"Agriculture Year (Jul - Jun), 2018",1535900.000,500961.000,182140.000,221805.000,8815.000,6676.000,44987.000,104491.000,161918.000,304107.000,328650.000,24543.000
India,Arunachal Pradesh,Pakke Kessang,"Agriculture Year (Jul - Jun), 2014",,,,,,,,,,,,
India,Arunachal Pradesh,Kurung Kumey,"Agriculture Year (Jul - Jun), 2014",,,,,,,,,,,,
India,Arunachal Pradesh,Changlang,"Agriculture Year (Jul - Jun), 2012",,,,,,,,,,,,
India,Arunachal Pradesh,Kamle,"Agriculture Year (Jul - Jun), 2015",,,,,,,,,,,,
India,Arunachal Pradesh,Kra Daadi,"Agriculture Year (Jul - Jun), 2016",5808.000,0.000,277.000,427.000,312.000,456.000,1524.000,447.000,1136.000,1229.000,1815.000,586.000
India,Arunachal Pradesh,Shi Yomi,"Agriculture Year (Jul - Jun), 2015",,,,,,,,,,,,
India,Arunachal Pradesh,Anjaw,"Agriculture Year (Jul - Jun), 2014",462861.000,441834.000,673.000,676.000,1280.000,483.000,6582.000,1897.000,1258.000,8178.000,10954.000,2776.000
India,Arunachal Pradesh,Upper Siang,"Agriculture Year (Jul - Jun), 2018",21433.000,0.000,930.000,658.000,544.000,607.000,6256.000,1335.000,1208.000,9895.000,12292.000,2397.000
India,Arunachal Pradesh,Leparada,"Agriculture Year (Jul - Jun), 2018",,,,,,,,,,,,
India,Arunachal Pradesh,Kamle,"Agriculture Year (Jul - Jun), 2016",,,,,,,,,,,,
India,Arunachal Pradesh,Kurung Kumey,"Agriculture Year (Jul - Jun), 2011",,,,,,,,,,,,
India,Arunachal Pradesh,Papum Pare,"Agriculture Year (Jul - Jun), 2012",24129.000,0.000,1931.000,630.000,245.000,988.000,2937.000,2313.000,2273.000,12812.000,16516.000,3704.000
India,Andhra Pradesh,Guntur,"Agriculture Year (Jul - Jun), 2018",1139100.000,161941.000,180123.000,31612.000,14251.000,24180.000,24592.000,37599.000,53218.000,611584.000,771492.000,159908.000
India,Arunachal Pradesh,Changlang,"Agriculture Year (Jul - Jun), 2013",,,,,,,,,,,,
India,Arunachal Pradesh,Upper Subansiri,"Agriculture Year (Jul - Jun), 2012",,,,,,,,,,,,
India,Arunachal Pradesh,Longding,"Agriculture Year (Jul - Jun), 2014",128630.000,91229.000,548.000,310.000,2109.000,5960.000,6596.000,11737.000,3240.000,6901.000,9268.000,2367.000
India,Arunachal Pradesh,Upper Subansiri,"Agriculture Year (Jul - Jun), 2017",,,,,,,,,,,,
India,Arunachal Pradesh,Kurung Kumey,"Agriculture Year (Jul - Jun), 2018",7233.000,0.000,338.000,523.000,382.000,533.000,1874.000,518.000,1416.000,1649.000,1790.000,141.000
India,Andhra Pradesh,East Godavari,"Agriculture Year (Jul - Jun), 2017",1280525.000,466494.000,159429.000,83178.000,21793.000,5404.000,15811.000,50258.000,50917.000,427241.000,666037.000,238796.000
India,Arunachal Pradesh,Upper Subansiri,"Agriculture Year (Jul - Jun), 2018",,,,,,,,,,,,
India,Arunachal Pradesh,Pakke Kessang,"Agriculture Year (Jul - Jun), 2016",,,,,,,,,,,,
India,Andhra Pradesh,Chittoor,"Agriculture Year (Jul - Jun), 2015",1515100.000,452018.000,158857.000,152688.000,33537.000,30556.000,46906.000,124752.000,144138.000,371648.000,430201.000,58553.000
India,Arunachal Pradesh,Shi Yomi,"Agriculture Year (Jul - Jun), 2017",,,,,,,,,,,,
India,Andhra Pradesh,Chittoor,"Agriculture Year (Jul - Jun), 2016",1515100.000,452018.000,159134.000,152683.000,33537.000,30555.000,46293.000,127847.000,153902.000,359131.000,404223.000,45092.000
India,Arunachal Pradesh,Kra Daadi,"Agriculture Year (Jul - Jun), 2012",,,,,,,,,,,,
India,Andhra Pradesh,Kurnool,"Agriculture Year (Jul - Jun), 2011",1765800.000,340669.000,141757.000,127313.000,3546.000,1741.000,48260.000,71148.000,155935.000,875431.000,962190.000,86759.000
India,Andhra Pradesh,Spsr Nellore,"Agriculture Year (Jul - Jun), 2018",1307600.000,271899.000,313556.000,81808.000,34196.000,7529.000,81228.000,127288.000,114050.000,276046.000,291737.000,15691.000
India,Arunachal Pradesh,Upper Subansiri,"Agriculture Year (Jul - Jun), 2013",,,,,,,,,,,,
India,Arunachal Pradesh,Siang,"Agriculture Year (Jul - Jun), 2014",,,,,,,,,,,,
India,Andhra Pradesh,Prakasam,"Agriculture Year (Jul - Jun), 2018",1762600.000,459303.000,184467.000,152781.000,55539.000,3622.000,57988.000,160812.000,133258.000,554830.000,563281.000,8451.000
India,Andhra Pradesh,Prakasam,"Agriculture Year (Jul - Jun), 2013",1762600.000,459303.000,184516.000,153513.000,55917.000,3673.000,64575.000,128220.000,69858.000,643025.000,688818.000,45793.000
India,Arunachal Pradesh,Longding,"Agriculture Year (Jul - Jun), 2012",,,,,,,,,,,,
India,Arunachal Pradesh,Longding,"Agriculture Year (Jul - Jun), 2018",37310.000,0.000,548.000,310.000,2109.000,5490.000,6322.000,11142.000,3115.000,8274.000,9676.000,1402.000
India,Andhra Pradesh,Y.S.R.,"Agriculture Year (Jul - Jun), 2015",1535900.000,500961.000,182139.000,221834.000,8936.000,6799.000,44889.000,89036.000,141035.000,340271.000,396864.000,56593.000
India,Arunachal Pradesh,East Kameng,"Agriculture Year (Jul - Jun), 2016",,,,,,,,,,,,
India,Andhra Pradesh,Anantapur,"Agriculture Year (Jul - Jun), 2015",1913000.000,196978.000,150140.000,165945.000,5848.000,9416.000,48533.000,86502.000,399421.000,850217.000,920178.000,69961.000
India,Andhra Pradesh,Krishna,"Agriculture Year (Jul - Jun), 2012",872700.000,76186.000,150795.000,36757.000,10664.000,8840.000,25680.000,24942.000,38875.000,499961.000,700624.000,200663.000
India,Arunachal Pradesh,Longding,"Agriculture Year (Jul - Jun), 2011",,,,,,,,,,,,
India,Andhra Pradesh,Prakasam,"Agriculture Year (Jul - Jun), 2012",1762600.000,459303.000,181756.000,153513.000,55928.000,3700.000,72167.000,151091.000,79465.000,605677.000,642626.000,36949.000
India,Arunachal Pradesh,Leparada,"Agriculture Year (Jul - Jun), 2013",,,,,,,,,,,,
India,Andhra Pradesh,Chittoor,"Agriculture Year (Jul - Jun), 2017",1515100.000,452018.000,160487.000,152683.000,33621.000,30555.000,46547.000,123736.000,153529.000,361924.000,420577.000,58653.000
India,Andhra Pradesh,Vizianagaram,"Agriculture Year (Jul - Jun), 2018",653900.000,119303.000,81629.000,72981.000,4956.000,10606.000,4221.000,30891.000,57880.000,271433.000,345860.000,74427.000
India,Arunachal Pradesh,Upper Subansiri,"Agriculture Year (Jul - Jun), 2015",,,,,,,,,,,,
India,Arunachal Pradesh,East Siang,"Agriculture Year (Jul - Jun), 2013",,,,,,,,,,,,
India,Arunachal Pradesh,Pakke Kessang,"Agriculture Year (Jul - Jun), 2012",,,,,,,,,,,,
India,Andhra Pradesh,West Godavari,"Agriculture Year (Jul - Jun), 2013",844333.746,114394.668,168665.589,41531.187,14619.292,8734.266,14002.500,8861.804,28921.777,444602.663,721313.958,276711.295
India,Arunachal Pradesh,Namsai,"Agriculture Year (Jul - Jun), 2011",,,,,,,,,,,,
India,Arunachal Pradesh,Changlang,"Agriculture Year (Jul - Jun), 2017",58385.000,0.000,3554.000,20174.000,1379.000,2857.000,1498.000,7577.000,2276.000,19070.000,25361.000,6291.000
India,Arunachal Pradesh,Pakke Kessang,"Agriculture Year (Jul - Jun), 2015",,,,,,,,,,,,
India,Arunachal Pradesh,East Kameng,"Agriculture Year (Jul - Jun), 2013",,,,,,,,,,,,
India,Andhra Pradesh,Srikakulam,"Agriculture Year (Jul - Jun), 2016",583700.000,68641.000,102285.000,48408.000,942.000,7451.000,602.000,14745.000,39830.000,300796.000,408356.000,107560.000
India,Arunachal Pradesh,Papum Pare,"Agriculture Year (Jul - Jun), 2016",27154.000,0.000,1744.000,630.000,245.000,898.000,2887.000,1957.000,2004.000,16789.000,20230.000,3441.000
India,Arunachal Pradesh,Lower Dibang Valley,"Agriculture Year (Jul - Jun), 2011",,,,,,,,,,,,
India,Andhra Pradesh,East Godavari,"Agriculture Year (Jul - Jun), 2016",1280525.000,466494.000,159402.000,83178.000,21793.000,5404.000,15850.000,49348.000,55973.000,423083.000,682574.000,259491.000
India,Arunachal Pradesh,Lower Dibang Valley,"Agriculture Year (Jul - Jun), 2012",,,,,,,,,,,,
India,Andhra Pradesh,Anantapur,"Agriculture Year (Jul - Jun), 2012",1913000.000,196978.000,150140.000,167469.000,5848.000,9416.000,48856.000,86502.000,227945.000,1019846.000,1083515.000,63669.000
India,Andhra Pradesh,West Godavari,"Agriculture Year (Jul - Jun), 2015",908709.874,157259.267,127890.622,43695.816,13652.173,8401.710,14758.264,17932.360,32342.755,492776.907,711588.730,218811.823
India,Arunachal Pradesh,Tawang,"Agriculture Year (Jul - Jun), 2012",12648.000,0.000,597.000,725.000,391.000,1555.000,3300.000,1324.000,1033.000,3723.000,4905.000,1182.000
India,Andhra Pradesh,Vizianagaram,"Agriculture Year (Jul - Jun), 2017",653900.000,119303.000,81629.000,72981.000,5231.000,10544.000,4268.000,33546.000,53600.000,272798.000,371534.000,98736.000
India,Arunachal Pradesh,Lower Siang,"Agriculture Year (Jul - Jun), 2014",,,,,,,,,,,,
India,Arunachal Pradesh,Lohit,"Agriculture Year (Jul - Jun), 2016",20254.000,0.000,972.000,506.000,494.000,715.000,1079.000,1185.000,729.000,14574.000,19916.000,5342.000
India,Arunachal Pradesh,Dibang Valley,"Agriculture Year (Jul - Jun), 2013",,,,,,,,,,,,
India,Arunachal Pradesh,Anjaw,"Agriculture Year (Jul - Jun), 2018",20328.000,0.000,673.000,676.000,1280.000,458.000,6310.000,1747.000,1133.000,8051.000,9144.000,1093.000
India,Arunachal Pradesh,Lower Dibang Valley,"Agriculture Year (Jul - Jun), 2017",32235.000,0.000,515.000,417.000,750.000,585.000,1838.000,1418.000,1374.000,25338.000,37879.000,12541.000
India,Arunachal Pradesh,East Siang,"Agriculture Year (Jul - Jun), 2018",28650.000,0.000,1628.000,2327.000,759.000,2102.000,4409.000,1528.000,1300.000,14597.000,25522.000,10925.000
India,Arunachal Pradesh,Pakke Kessang,"Agriculture Year (Jul - Jun), 2011",,,,,,,,,,,,
India,Andhra Pradesh,Y.S.R.,"Agriculture Year (Jul - Jun), 2011",1535900.000,500961.000,181029.000,222099.000,9409.000,6831.000,46013.000,80861.000,135935.000,352762.000,432970.000,80208.000
India,Arunachal Pradesh,Siang,"Agriculture Year (Jul - Jun), 2017",27430.000,0.000,1891.000,1430.000,972.000,2210.000,2610.000,1799.000,1590.000,14928.000,16403.000,1475.000
India,Arunachal Pradesh,Unknown Districts Of India,"Agriculture Year (Jul - Jun), 2015",149497.000,0.000,9482.000,8922.000,5272.000,10819.000,14638.000,18020.000,11540.000,70804.000,94792.000,23988.000
India,Arunachal Pradesh,Tawang,"Agriculture Year (Jul - Jun), 2011",12293.000,0.000,597.000,725.000,391.000,1575.000,3300.000,1331.000,1049.000,3325.000,5035.000,1710.000
India,Arunachal Pradesh,Lohit,"Agriculture Year (Jul - Jun), 2013",,,,,,,,,,,,
India,Andhra Pradesh,Prakasam,"Agriculture Year (Jul - Jun), 2017",1762600.000,459303.000,184456.000,152781.000,55539.000,3622.000,57988.000,168117.000,138487.000,542307.000,554513.000,12206.000
India,Arunachal Pradesh,Dibang Valley,"Agriculture Year (Jul - Jun), 2015",9405.000,0.000,322.000,320.000,435.000,657.000,845.000,1688.000,1416.000,3722.000,5572.000,1850.000
India,Arunachal Pradesh,Lower Siang,"Agriculture Year (Jul - Jun), 2013",,,,,,,,,,,,
India,Arunachal Pradesh,East Kameng,"Agriculture Year (Jul - Jun), 2018",,,,,,,,,,,,
India,Arunachal Pradesh,Lohit,"Agriculture Year (Jul - Jun), 2017",20366.000,0.000,972.000,506.000,494.000,690.000,1079.000,1165.000,754.000,14706.000,20051.000,5345.000
India,Andhra Pradesh,Visakhapatanam,"Agriculture Year (Jul - Jun), 2012",1116100.000,441166.000,109254.000,130405.000,2758.000,34582.000,10366.000,39954.000,61534.000,286081.000,360087.000,74006.000
India,Arunachal Pradesh,Lohit,"Agriculture Year (Jul - Jun), 2012",,,,,,,,,,,,
India,Arunachal Pradesh,Changlang,"Agriculture Year (Jul - Jun), 2014",273831.000,215524.000,3554.000,20174.000,1379.000,2882.000,1548.000,7697.000,2376.000,18697.000,24794.000,6097.000
India,Andhra Pradesh,Chittoor,"Agriculture Year (Jul - Jun), 2018",1515100.000,452018.000,160487.000,152683.000,33621.000,30555.000,46547.000,123406.000,172174.000,343609.000,407422.000,63813.000
India,Arunachal Pradesh,Papum Pare,"Agriculture Year (Jul - Jun), 2013",225061.000,200858.000,1931.000,630.000,245.000,898.000,2937.000,2057.000,2129.000,13376.000,17016.000,3640.000
India,Arunachal Pradesh,Dibang Valley,"Agriculture Year (Jul - Jun), 2016",9471.000,0.000,322.000,320.000,435.000,657.000,795.000,1588.000,1291.000,4063.000,5868.000,1805.000
India,Andhra Pradesh,Spsr Nellore,"Agriculture Year (Jul - Jun), 2016",1307600.000,271899.000,313494.000,81808.000,34252.000,7529.000,73875.000,76160.000,148220.000,300363.000,358200.000,57837.000
India,Andhra Pradesh,Visakhapatanam,"Agriculture Year (Jul - Jun), 2017",1116100.000,441166.000,111078.000,130404.000,2696.000,32202.000,9884.000,40305.000,67508.000,280857.000,339759.000,58902.000
India,Arunachal Pradesh,Lower Siang,"Agriculture Year (Jul - Jun), 2018",10814.000,0.000,0.000,0.000,0.000,0.000,0.000,929.000,816.000,9069.000,14454.000,5385.000
India,Arunachal Pradesh,Tirap,"Agriculture Year (Jul - Jun), 2013",,,,,,,,,,,,
India,Arunachal Pradesh,Kamle,"Agriculture Year (Jul - Jun), 2018",8540.000,0.000,0.000,0.000,0.000,0.000,0.000,1920.000,1322.000,5298.000,7237.000,1939.000
India,Andhra Pradesh,East Godavari,"Agriculture Year (Jul - Jun), 2018",1280525.000,466494.000,159460.000,83178.000,21793.000,5313.000,15685.000,50378.000,56660.000,421564.000,648439.000,226875.000
India,Arunachal Pradesh,Siang,"Agriculture Year (Jul - Jun), 2015",27643.000,0.000,1891.000,1430.000,972.000,2235.000,2660.000,1919.000,1690.000,14846.000,19300.000,4454.000
India,Arunachal Pradesh,Tirap,"Agriculture Year (Jul - Jun), 2018",32116.000,0.000,427.000,244.000,1663.000,4677.000,5153.000,9109.000,2431.000,8412.000,10765.000,2353.000
India,Arunachal Pradesh,Anjaw,"Agriculture Year (Jul - Jun), 2011",21758.000,0.000,673.000,676.000,1380.000,490.000,6870.000,2165.000,1424.000,8080.000,9780.000,1700.000
India,Arunachal Pradesh,Dibang Valley,"Agriculture Year (Jul - Jun), 2011",,,,,,,,,,,,
India,Andhra Pradesh,Guntur,"Agriculture Year (Jul - Jun), 2013",1139100.000,161941.000,166490.000,31612.000,16450.000,24180.000,26677.000,37966.000,38931.000,634853.000,862903.000,228050.000
India,Andhra Pradesh,Spsr Nellore,"Agriculture Year (Jul - Jun), 2015",1307600.000,271899.000,313494.000,81808.000,34252.000,7528.000,69401.000,78474.000,12886.000,437858.000,463066.000,25208.000
India,Arunachal Pradesh,Anjaw,"Agriculture Year (Jul - Jun), 2016",20871.000,0.000,673.000,676.000,1280.000,483.000,6310.000,1797.000,1133.000,8519.000,8959.000,440.000
India,Arunachal Pradesh,Siang,"Agriculture Year (Jul - Jun), 2018",27375.000,0.000,1891.000,1430.000,972.000,2210.000,2610.000,1769.000,1565.000,14928.000,16543.000,1615.000
India,Arunachal Pradesh,Dibang Valley,"Agriculture Year (Jul - Jun), 2012",,,,,,,,,,,,
India,Andhra Pradesh,Visakhapatanam,"Agriculture Year (Jul - Jun), 2011",1116100.000,441166.000,109254.000,130405.000,2758.000,34126.000,10366.000,28758.000,58896.000,300371.000,360473.000,60102.000
India,Arunachal Pradesh,Namsai,"Agriculture Year (Jul - Jun), 2018",26403.000,0.000,1458.000,759.000,741.000,1047.000,1643.000,1778.000,1156.000,17821.000,30717.000,12896.000
India,Arunachal Pradesh,Tirap,"Agriculture Year (Jul - Jun), 2011",,,,,,,,,,,,
India,Arunachal Pradesh,Siang,"Agriculture Year (Jul - Jun), 2013",,,,,,,,,,,,
